"0",""
"0","# Load necessary libraries"
"0","if (!requireNamespace(""tidyverse"", quietly = TRUE)) {"
"0","  install.packages(""tidyverse"")"
"0","}"
"0",""
"0","if (!requireNamespace(""lubridate"", quietly = TRUE)) {"
"0","  install.packages(""lubridate"")"
"0","}"
"0",""
"0","if (!requireNamespace(""ggthemes"", quietly = TRUE)) {"
"0","  install.packages(""ggthemes"")"
"0","}"
"0",""
"0","if (!requireNamespace(""reshape2"", quietly = TRUE)) {"
"0","  install.packages(""reshape2"")"
"0","}"
"0",""
"0","if (!requireNamespace(""ggplot2"", quietly = TRUE)) {"
"0","  install.packages(""ggplot2"")"
"0","}"
"0",""
"0","if (!requireNamespace(""janitor"", quietly = TRUE)) {"
"0","  install.packages(""janitor"")"
"0","}"
"0",""
"0","library(janitor)"
"0","library(tidyverse)"
"0","library(lubridate)"
"0","library(ggthemes)"
"0","library(reshape2)"
"0","library(ggplot2)"
"0","knitr::opts_chunk$set(echo = TRUE)"
