"User.ID","Location","Age","Publisher","genres"
2033,"usa",27,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
14456,"canada",27,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
25009,"usa",39,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
59971,"usa",27,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
78973,"portugal",29,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
79441,"canada",43,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
97945,"usa",34,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
100227,"iran",36,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
105517,"canada",28,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
125774,"iran",36,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
128835,"usa",60,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
131046,"usa",26,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
148744,"usa",67,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
171118,"canada",47,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
180378,"canada",38,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
182334,"usa",31,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
182969,"usa",36,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
186039,"iran",24,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
187981,"australia",23,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
194124,"usa",19,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
196108,"usa",34,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
196148,"canada",26,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
196886,"usa",30,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
198012,"usa",34,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
208141,"usa",46,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
210959,"usa",30,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
223566,"usa",29,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
235842,"usa",41,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
262186,"portugal",25,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
264321,"canada",33,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
265313,"usa",33,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
276964,"usa",34,"Tor Fantasy","'Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Audiobook', 'Epic'"
66765,"canada",39,"Tor Fantasy","'Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Audiobook', 'Epic'"
98391,"usa",52,"Tor Fantasy","'Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Audiobook', 'Epic'"
128434,"usa",24,"Tor Fantasy","'Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Audiobook', 'Epic'"
135045,"usa",29,"Tor Fantasy","'Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Audiobook', 'Epic'"
177658,"australia",24,"Tor Fantasy","'Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Audiobook', 'Epic'"
196160,"usa",22,"Tor Fantasy","'Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Audiobook', 'Epic'"
227520,"usa",33,"Tor Fantasy","'Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Audiobook', 'Epic'"
231340,"usa",37,"Tor Fantasy","'Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Audiobook', 'Epic'"
277427,"usa",48,"Penguin Books","'Philosophy', 'Nonfiction', 'Spirituality', 'Religion', 'Self Help', 'Audiobook', 'Taoism'"
75,"usa",37,"Penguin Books","'Philosophy', 'Nonfiction', 'Spirituality', 'Religion', 'Self Help', 'Audiobook', 'Taoism'"
3363,"usa",29,"Penguin Books","'Philosophy', 'Nonfiction', 'Spirituality', 'Religion', 'Self Help', 'Audiobook', 'Taoism'"
